,Category,Aantal per 100.000 inwoners,Aantal
0,'s-Gravenhage,22.7,124
1,'s-Hertogenbosch,69.6,108
2,Aa en Hunze,11.8,3
3,Aalsmeer,37.7,12
4,Aalten,11.1,3
5,Achtkarspelen,7.2,2
6,Alblasserdam,29.8,6
7,Albrandswaard,82.1,21
8,Alkmaar,32.9,36
9,Almelo,19.2,14
10,Almere,18.4,39
11,Alphen aan den Rijn,28.6,32
12,Alphen-Chaam,186.0,19
13,Altena,69.7,39
14,Ameland,0.0,0
15,Amersfoort,37.5,59
16,Amstelveen,56.7,52
17,Amsterdam,47.1,411
18,Apeldoorn,29.9,49
19,Appingedam,8.6,1
20,Arnhem,28.5,46
21,Assen,11.7,8
22,Asten,47.8,8
23,Baarle-Nassau,29.2,2
24,Baarn,20.1,5
25,Barendrecht,43.1,21
26,Barneveld,28.8,17
27,Beek,81.9,13
28,Beekdaelen,94.5,34
29,Beemster,39.9,4
30,Beesel,81.6,11
31,Berg en Dal,125.8,44
32,Bergeijk,69.7,13
33,Bergen (L.),15.3,2
34,Bergen (NH.),53.6,16
35,Bergen op Zoom,22.2,15
36,Berkelland,4.6,2
37,Bernheze,278.4,87
38,Best,76.7,23
39,Beuningen,61.8,16
40,Beverwijk,31.2,13
41,Bladel,73.5,15
42,Blaricum,52.0,6
43,Bloemendaal,72.1,17
44,Bodegraven-Reeuwijk,25.8,9
45,Boekel,472.9,51
46,Borger-Odoorn,3.9,1
47,Borne,55.8,13
48,Borsele,30.8,7
49,Boxmeer,44.3,13
50,Boxtel,71.4,22
51,Breda,116.7,215
52,Brielle,28.9,5
53,Bronckhorst,22.2,8
54,Brummen,24.1,5
55,Brunssum,86.3,24
56,Bunnik,59.2,9
57,Bunschoten,13.7,3
58,Buren,26.2,7
59,Capelle aan den IJssel,46.2,31
60,Castricum,50.0,18
61,Coevorden,48.2,17
62,Cranendonck,198.4,42
63,Cuijk,31.8,8
64,Culemborg,48.3,14
65,Dalfsen,49.0,14
66,Dantumadiel,5.3,1
67,De Bilt,83.5,36
68,De Fryske Marren,23.3,12
69,De Ronde Venen,38.2,17
70,De Wolden,12.3,3
71,Delft,26.0,27
72,Delfzijl,16.2,4
73,Den Helder,16.0,9
74,Deurne,129.3,42
75,Deventer,32.8,33
76,Diemen,22.7,7
77,Dinkelland,105.8,28
78,Doesburg,54.2,6
79,Doetinchem,29.3,17
80,Dongen,38.1,10
81,Dordrecht,26.8,32
82,Drechterland,20.3,4
83,Drimmelen,88.0,24
84,Dronten,26.5,11
85,Druten,58.1,11
86,Duiven,15.9,4
87,Echt-Susteren,79.1,25
88,Edam-Volendam,38.7,14
89,Ede,31.6,37
90,Eemnes,10.8,1
91,Eersel,77.7,15
92,Eijsden-Margraten,124.3,32
93,Eindhoven,48.2,113
94,Elburg,38.9,9
95,Emmen,9.3,10
96,Enkhuizen,91.4,17
97,Enschede,28.2,45
98,Epe,54.2,18
99,Ermelo,66.7,18
100,Etten-Leur,91.2,40
101,Geertruidenberg,51.1,11
102,Geldrop-Mierlo,50.3,20
103,Gemert-Bakel,247.4,76
104,Gennep,53.2,9
105,Gilze en Rijen,83.2,22
106,Goeree-Overflakkee,153.8,77
107,Goes,31.5,12
108,Goirle,100.4,24
109,Gooise Meren,41.4,24
110,Gorinchem,35.1,13
111,Gouda,42.2,31
112,Grave,128.6,16
113,Groningen,34.3,80
114,Gulpen-Wittem,49.4,7
115,Haaksbergen,24.7,6
116,Haaren,125.3,18
117,Haarlem,40.5,66
118,Haarlemmermeer,25.6,40
119,Halderberge,33.0,10
120,Hardenberg,18.1,11
121,Harderwijk,37.2,18
122,Hardinxveld-Giessendam,38.3,7
123,Harlingen,19.1,3
124,Hattem,57.3,7
125,Heemskerk,40.8,16
126,Heemstede,88.1,24
127,Heerde,145.3,27
128,Heerenveen,9.9,5
129,Heerhugowaard,34.7,20
130,Heerlen,78.1,68
131,Heeze-Leende,74.3,12
132,Heiloo,54.2,13
133,Hellendoorn,22.3,8
134,Hellevoetsluis,24.9,10
135,Helmond,81.1,75
136,Hendrik-Ido-Ambacht,16.0,5
137,Hengelo,28.3,23
138,Het Hogeland,14.6,7
139,Heumen,91.2,15
140,Heusden,82.8,37
141,Hillegom,13.5,3
142,Hilvarenbeek,64.5,10
143,Hilversum,26.4,24
144,Hoeksche Waard,58.3,51
145,Hof van Twente,40.0,14
146,Hollands Kroon,35.1,17
147,Hoogeveen,14.4,8
148,Hoorn,23.2,17
149,Horst aan de Maas,58.9,25
150,Houten,93.7,47
151,Huizen,31.5,13
152,Hulst,7.3,2
153,IJsselstein,76.2,26
154,Kaag en Braassem,18.3,5
155,Kampen,82.8,45
156,Kapelle,15.8,2
157,Katwijk,22.8,15
158,Kerkrade,61.2,28
159,Koggenland,26.4,6
160,Krimpen aan den IJssel,23.7,7
161,Krimpenerwaard,42.6,24
162,Laarbeek,146.5,33
163,Landerd,267.0,42
164,Landgraaf,74.8,28
165,Landsmeer,60.9,7
166,Langedijk,49.7,14
167,Lansingerland,54.5,34
168,Laren,71.0,8
169,Leeuwarden,15.3,19
170,Leiden,24.0,30
171,Leiderdorp,14.8,4
172,Leidschendam-Voorburg,23.5,18
173,Lelystad,36.9,29
174,Leudal,103.1,37
175,Leusden,52.6,16
176,Lingewaard,47.2,22
177,Lisse,13.1,3
178,Lochem,32.6,11
179,Loon op Zand,106.8,25
180,Lopik,89.8,13
181,Loppersum,10.5,1
182,Losser,4.4,1
183,Maasdriel,24.0,6
184,Maasgouw,54.3,13
185,Maassluis,33.1,11
186,Maastricht,103.7,126
187,Medemblik,17.7,8
188,Meerssen,42.5,8
189,Meierijstad,240.2,195
190,Meppel,11.8,4
191,Middelburg,18.4,9
192,Midden-Delfland,15.5,3
193,Midden-Drenthe,6.0,2
194,Midden-Groningen,8.2,5
195,Mill en Sint Hubert,64.0,7
196,Moerdijk,16.2,6
197,Molenlanden,38.7,17
198,Montferland,13.9,5
199,Montfoort,79.0,11
200,Mook en Middelaar,63.7,5
201,Neder-Betuwe,65.7,16
202,Nederweert,123.4,21
203,Nieuwegein,26.8,17
204,Nieuwkoop,24.3,7
205,Nijkerk,34.7,15
206,Nijmegen,74.3,132
207,Nissewaard,32.8,28
208,Noardeast-Fryslân,8.8,4
209,Noord-Beveland,27.0,2
210,Noordenveld,9.6,3
211,Noordoostpolder,21.2,10
212,Noordwijk,23.0,10
213,"Nuenen, Gerwen en Nederwetten",47.1,11
214,Nunspeet,140.1,39
215,Oegstgeest,48.3,12
216,Oirschot,53.4,10
217,Oisterwijk,87.6,23
218,Oldambt,0.0,0
219,Oldebroek,80.4,19
220,Oldenzaal,53.4,17
221,Olst-Wijhe,32.9,6
222,Ommen,38.9,7
223,Oost Gelre,23.6,7
224,Oosterhout,55.4,31
225,Ooststellingwerf,3.9,1
226,Oostzaan,71.9,7
227,Opmeer,16.9,2
228,Opsterland,20.2,6
229,Oss,139.2,128
230,Oude IJsselstreek,12.7,5
231,Ouder-Amstel,49.9,7
232,Oudewater,176.0,18
233,Overbetuwe,106.5,51
234,Papendrecht,18.7,6
235,Peel en Maas,246.4,107
236,Pekela,16.4,2
237,Pijnacker-Nootdorp,41.6,23
238,Purmerend,59.1,48
239,Putten,24.9,6
240,Raalte,34.5,13
241,Reimerswaal,30.8,7
242,Renkum,54.1,17
243,Renswoude,18.4,1
244,Reusel-De Mierden,30.5,4
245,Rheden,61.7,27
246,Rhenen,24.8,5
247,Ridderkerk,41.1,19
248,Rijssen-Holten,34.1,13
249,Rijswijk,25.7,14
250,Roerdalen,63.2,13
251,Roermond,53.2,31
252,Roosendaal,32.4,25
253,Rotterdam,38.2,249
254,Rozendaal,117.3,2
255,Rucphen,43.7,10
256,Schagen,28.0,13
257,Scherpenzeel,40.5,4
258,Schiedam,24.1,19
259,Schiermonnikoog,0.0,0
260,Schouwen-Duiveland,26.6,9
261,Simpelveld,94.8,10
262,Sint Anthonis,154.2,18
263,Sint-Michielsgestel,95.9,28
264,Sittard-Geleen,106.0,98
265,Sliedrecht,23.8,6
266,Sluis,25.8,6
267,Smallingerland,8.9,5
268,Soest,60.1,28
269,Someren,98.1,19
270,Son en Breugel,115.5,20
271,Stadskanaal,3.2,1
272,Staphorst,29.2,5
273,Stede Broec,82.8,18
274,Steenbergen,57.1,14
275,Steenwijkerland,18.1,8
276,Stein,116.0,29
277,Stichtse Vecht,46.2,30
