Category,Aantal per 100.000 inwoners,Aantal
's-Gravenhage,45.1,246
Aa en Hunze,3.9,1
Aalsmeer,25.1,8
Aalten,14.8,4
Achtkarspelen,0.0,0
Alblasserdam,39.7,8
Albrandswaard,35.2,9
Alkmaar,44.8,49
Almelo,27.4,20
Almere,48.6,103
Alphen aan den Rijn,47.4,53
Alphen-Chaam,166.5,17
Altena,53.6,30
Ameland,0.0,0
Amersfoort,34.3,54
Amstelveen,53.4,49
Amsterdam,54.5,476
Apeldoorn,27.5,45
Appingedam,17.2,2
Arnhem,35.3,57
Assen,14.6,10
Asten,83.7,14
Baarle-Nassau,14.6,1
Baarn,40.2,10
Barendrecht,59.5,29
Barneveld,27.1,16
Beek,88.2,14
Beekdaelen,116.7,42
Beemster,39.9,4
Beesel,148.3,20
Berg en Dal,85.7,30
Bergeijk,75.1,14
Bergen (L.),45.9,6
Bergen (NH.),53.6,16
Bergen op Zoom,31.1,21
Berkelland,13.7,6
Bernheze,252.8,79
Best,103.4,31
Beuningen,73.4,19
Beverwijk,36.0,15
Bladel,83.4,17
Blaricum,60.7,7
Bloemendaal,25.5,6
Bodegraven-Reeuwijk,20.1,7
Boekel,287.5,31
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,22.0,5
Boxmeer,61.3,18
Boxtel,64.9,20
Breda,75.4,139
Brielle,69.4,12
Bronckhorst,30.5,11
Brummen,72.3,15
Brunssum,115.0,32
Bunnik,46.1,7
Bunschoten,22.9,5
Buren,44.9,12
Capelle aan den IJssel,56.6,38
Castricum,38.9,14
Coevorden,34.0,12
Cranendonck,274.0,58
Cuijk,43.8,11
Culemborg,72.5,21
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,53.3,23
De Fryske Marren,27.1,14
De Ronde Venen,81.0,36
De Wolden,37.0,9
Delft,35.7,37
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,154.0,50
Deventer,40.7,41
Diemen,45.5,14
Dinkelland,64.2,17
Doesburg,63.2,7
