Category,Aantal per 100.000 inwoners,Aantal
's-Hertogenbosch,65.8,102
Aa en Hunze,3.9,1
Aalsmeer,25.1,8
Aalten,3.7,1
Achtkarspelen,0.0,0
Alblasserdam,34.7,7
Albrandswaard,23.4,6
Alkmaar,36.5,40
Almelo,21.9,16
Almere,39.7,84
Alphen aan den Rijn,41.1,46
Alphen-Chaam,146.9,15
Altena,42.9,24
Ameland,0.0,0
Amersfoort,27.3,43
Amstelveen,43.6,40
Amsterdam,39.4,344
Apeldoorn,20.1,33
Appingedam,17.2,2
Arnhem,30.4,49
Assen,13.1,9
Asten,53.8,9
Baarle-Nassau,14.6,1
Baarn,28.1,7
Barendrecht,49.3,24
Barneveld,18.6,11
Beek,75.6,12
Beekdaelen,102.8,37
Beemster,39.9,4
Beesel,111.3,15
Berg en Dal,77.2,27
Bergeijk,48.3,9
Bergen (L.),38.2,5
Bergen (NH.),53.6,16
Bergen op Zoom,23.7,16
Berkelland,4.6,2
Bernheze,240.0,75
Best,83.4,25
Beuningen,65.7,17
Beverwijk,24.0,10
Bladel,63.7,13
Blaricum,43.3,5
Bloemendaal,21.2,5
Bodegraven-Reeuwijk,17.2,6
Boekel,259.6,28
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,17.6,4
Boxmeer,54.5,16
Boxtel,48.7,15
Breda,71.6,132
Brielle,52.1,9
Bronckhorst,11.1,4
Brummen,38.5,8
Brunssum,104.3,29
Bunnik,46.1,7
Bunschoten,18.3,4
Buren,26.2,7
Capelle aan den IJssel,40.2,27
Castricum,36.1,13
Coevorden,25.5,9
Cranendonck,226.8,48
Cuijk,35.8,9
Culemborg,69.1,20
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,44.1,19
De Fryske Marren,23.3,12
De Ronde Venen,54.0,24
De Wolden,28.8,7
Delft,31.8,33
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,141.7,46
Deventer,31.8,32
Diemen,13.0,4
Dinkelland,60.4,16
Doesburg,36.1,4
Doetinchem,15.5,9
Dongen,53.4,14
Dordrecht,50.3,60
Drechterland,10.1,2
Drimmelen,58.7,16
Dronten,43.3,18
Druten,89.9,17
Duiven,35.8,9
Echt-Susteren,101.2,32
Edam-Volendam,47.0,17
Ede,39.3,46
Eemnes,10.8,1
Eersel,93.2,18
Eijsden-Margraten,159.2,41
Eindhoven,40.5,95
Elburg,43.2,10
Emmen,12.1,13
Enkhuizen,86.1,16
Enschede,26.9,43
Epe,42.2,14
Ermelo,55.5,15
Etten-Leur,75.2,33
Geertruidenberg,41.8,9
Geldrop-Mierlo,50.3,20
Gemert-Bakel,205.0,63
Gennep,76.8,13
Gilze en Rijen,60.5,16
Goeree-Overflakkee,79.9,40
Goes,23.6,9
Goirle,100.4,24
Gooise Meren,34.5,20
Gorinchem,37.8,14
Gouda,36.8,27
Grave,128.6,16
Groningen,6.0,14
Gulpen-Wittem,91.7,13
Haaksbergen,49.4,12
Haaren,104.4,15
Haarlem,28.8,47
Haarlemmermeer,29.5,46
Halderberge,29.7,9
Hardenberg,27.9,17
Harderwijk,24.8,12
Hardinxveld-Giessendam,5.5,1
Harlingen,12.7,2
Hattem,73.7,9
Heemskerk,51.0,20
Heemstede,29.4,8
Heerde,129.1,24
Heerenveen,21.8,11
Heerhugowaard,38.2,22
Heerlen,105.7,92
Heeze-Leende,49.5,8
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,27.4,11
Helmond,63.8,59
Hendrik-Ido-Ambacht,16.0,5
Hengelo,17.3,14
Het Hogeland,14.6,7
Heumen,91.2,15
Heusden,78.3,35
Hillegom,22.5,5
Hilvarenbeek,38.7,6
Hilversum,19.8,18
Hoeksche Waard,68.6,60
Hof van Twente,37.1,13
Hollands Kroon,53.7,26
Hoogeveen,18.0,10
Hoorn,30.0,22
Horst aan de Maas,89.6,38
Houten,33.9,17
Huizen,38.8,16
Hulst,21.8,6
IJsselstein,82.1,28
Kaag en Braassem,18.3,5
Kampen,86.5,47
Kapelle,7.9,1
Katwijk,25.9,17
Kerkrade,96.2,44
Koggenland,26.4,6
Krimpen aan den IJssel,16.9,5
Krimpenerwaard,62.1,35
Laarbeek,119.8,27
Landerd,178.0,28
Landgraaf,90.8,34
Landsmeer,26.1,3
Langedijk,53.3,15
Lansingerland,46.5,29
Laren,71.0,8
Leeuwarden,23.4,29
Leiden,21.6,27
Leiderdorp,29.6,8
Leidschendam-Voorburg,20.9,16
Lelystad,47.1,37
Leudal,142.1,51
Leusden,23.0,7
Lingewaard,47.2,22
Lisse,21.8,5
Lochem,17.8,6
Loon op Zand,85.4,20
Lopik,103.7,15
Loppersum,0.0,0
Losser,26.4,6
Maasdriel,55.9,14
Maasgouw,87.6,21
Maassluis,39.1,13
Maastricht,95.4,116
Medemblik,31.0,14
Meerssen,58.4,11
Meierijstad,197.1,160
Meppel,14.7,5
Middelburg,26.6,13
